type;isin;investmentRegion;investmentSubject;fullName;managedBy;replicationType;ticker;exchange;tickerGoogle;tickerYahoo;currency
ETF;IE00B1XNHC34;Globalny;Akcje - tematyczne;ISHARES GLOBAL CLEAN ENERGY UCITS ;iShares;Distributing;IQQH;FRA;FRA:IQQH;;EUR
ETF;IE00BJ0KDR00;USA;Akcje;DB XTRACKERS MSCI USA INDEX UCITS ;Xtrackers;Accumulating;XD9U;FRA;FRA:XD9U;;EUR
ETF;LU0908500753;Europa;Akcje;LYXOR CORE STOXX EUROPE 600 (DR) UCITS ETF ;Lyxor;Accumulating;MEUD;EPA;EPA:MEUD;;
ETF;IE00B0M62Q58;Globalny (DM);Akcje;ISHARES MSCI WORLD UCITS ;iShares;Distributing;IQQW;FRA;FRA:IQQW;;
ETF;IE00B0M62Q58;Globalny (DM);Akcje;ISHARES MSCI WORLD UCITS ;iShares;Distributing;IWRD;LON;LON:IWRD;;
ETF;IE00B0M62Q58;Globalny (DM);Akcje;ISHARES MSCI WORLD UCITS ;iShares;Distributing;IWRD;AMS;AMS:IWRD;;
ETF;IE00BFMXXD54;USA;Akcje;VANGUARD S&P 500 UCITS ETF USD;Vanguard;Accumulating;VUAG;LON;LON:VUAG;;GBP
ETF;IE00BFMXXD54;USA;Akcje;VANGUARD S&P 500 UCITS ETF USD;Vanguard;Accumulating;VUAA;LON;LON:VUAA;;USD
ETF;LU0490618542;USA;Akcje;DB XTRACKERS S&P 500 UCITS ;Xtrackers;Accumulating;D5BM;FRA;FRA:D5BM;;EUR
ETF;LU0490618542;USA;Akcje;DB XTRACKERS S&P 500 UCITS ;Xtrackers;Accumulating;XSPU;LON;LON:XSPU;;USD
ETF;IE00B3ZW0K18;USA;Akcje;ISHARES S&P 500 EUR HEDGED UCITS ETF ;iShares;Accumulating;IBCF;FRA;FRA:IBCF;;
ETF;IE00B3ZW0K18;USA;Akcje;ISHARES S&P 500 EUR HEDGED UCITS ETF ;iShares;Accumulating;IUSE;LON;LON:IUSE;;
ETF;IE00B3ZW0K18;USA;Akcje;ISHARES S&P 500 EUR HEDGED UCITS ETF ;iShares;Accumulating;IUES;AMS;AMS:IUES;;
ETF;IE00B6YX5D40;USA;Akcje - dywidendy;SPDR S&P US DIVIDEND ARISTOCRATS UCITS ;SPDR;Distributing;UDVD;LON;LON:UDVD;;USD
ETF;IE00B6YX5D40;USA;Akcje - dywidendy;SPDR S&P US DIVIDEND ARISTOCRATS UCITS;SPDR;Distributing;SPYD;FRA;FRA:SPYD;;EUR
ETF;IE00B4K48X80;Europa;Akcje;ISHARES MSCI EUROPE UCITS ;iShares;Accumulating;IMAE;AMS;AMS:IMAE;;EUR
ETF;IE00B4K48X80;Europa;Akcje;ISHARES MSCI EUROPE UCITS ;iShares;Accumulating;SMEA;LON;LON:SMEA;;GBX
ETF;IE00B4K48X80;Europa;Akcje;ISHARES MSCI EUROPE UCITS ;iShares;Accumulating;EUNK;FRA;FRA:EUNK;;EUR
ETF;IE00BTJRMP35;Globalny (EM);Akcje;DB XTRACKERS MSCI EMERGING MARKET UCITS ;Xtrackers;Accumulating;XMME;FRA;FRA:XMME;;EUR
ETF;IE00B810Q511;Wielka Brytania;Akcje;VANGUARD FTSE 100 UCITS;Vanguard;Distributing;VUKE;LON;LON:VUKE;;GBP
ETF;IE00B6YX5C33;USA;Akcje;SPDR S&P 500 UCITS ;SPDR;Distributing;SPY5;LON;LON:SPY5;;USD
ETF;IE00B6YX5C33;USA;Akcje;SPDR S&P 500 UCITS ;SPDR;Distributing;SPY5;FRA;FRA:SPY5;;EUR
ETF;IE00B5KQNG97;USA;Akcje;HSBC S&P 500 UCITS ETF;HSBC;Distributing;HSPD;LON;LON:HSPD;;
ETF;LU0274211480;Niemcy;Akcje;DB XTRACKERS DAX UCITS ;Xtrackers;Accumulating;XDAX;FRA;FRA:DBXD;;
ETF;IE00BP3QZB59;Globalny (DM);Akcje - factor;ISHARES MSCI WORLD VALUE FACTOR UCITS ;iShares;Accumulating;IS3S;FRA;FRA:IS3S;;EUR
ETF;IE00BP3QZB59;Globalny (DM);Akcje - factor;ISHARES MSCI WORLD VALUE FACTOR UCITS ;iShares;Accumulating;IWVL;LON;LON:IWVL;;USD
